Project Name,Package Name,Type Name,Code Smell
.,com.sismics.util,TestUrlUtil,Unutilized Abstraction
.,com.sismics.util,TestArticleSanitizer,Unutilized Abstraction
.,com.sismics.util,TestCertUtil,Unutilized Abstraction
.,com.sismics.util,TestTextSanitizer,Unutilized Abstraction
.,com.sismics.util,TestAdblockUtil,Unutilized Abstraction
.,com.sismics.util,TestDateUtil,Unutilized Abstraction
.,com.sismics.util,TestNetworkUtil,Unutilized Abstraction
.,com.sismics.util,TestResourceUtil,Unutilized Abstraction
.,com.sismics.util,HttpUtil,Unutilized Abstraction
.,com.sismics.util,EnvironmentUtil,Unutilized Abstraction
.,com.sismics.util,MessageUtil,Unutilized Abstraction
.,com.sismics.reader,BaseTransactionalTest,Unutilized Abstraction
.,com.sismics.reader,MainApplication,Unutilized Abstraction
.,com.sismics.reader,Standalone,Unutilized Abstraction
.,com.sismics.reader.core.dao.file.opml,TestOpmlReader,Unutilized Abstraction
.,com.sismics.reader.core.dao.file.json,TestStarredReader,Unutilized Abstraction
.,com.sismics.reader.core.dao.file.rss,TestRssReader,Unutilized Abstraction
.,com.sismics.reader.core.dao.file.rss,TestRssReader,Insufficient Modularization
.,com.sismics.reader.core.dao.file.rss,AtomArticleCommentUrlGuesserStrategy,Unutilized Abstraction
.,com.sismics.reader.core.dao.file.rss,AtomArticleUrlGuesserStrategy,Unutilized Abstraction
.,com.sismics.reader.core.dao.file.rss,AtomLink,Unutilized Abstraction
.,com.sismics.reader.core.dao.file.rss,RssReader,Deficient Encapsulation
.,com.sismics.reader.core.dao.file.rss,XmlReader,Unutilized Abstraction
.,com.sismics.reader.core.dao.file.html,TestRssExtractor,Unutilized Abstraction
.,com.sismics.reader.core.dao.file.html,TestFaviconDownloader,Unutilized Abstraction
.,com.sismics.reader.core.dao.file.html,TestFaviconExtractor,Unutilized Abstraction
.,com.sismics.reader.core.dao.file.html,FeedChooserStrategy,Unutilized Abstraction
.,com.sismics.reader.core.dao.file.html,FaviconDownloader,Deficient Encapsulation
.,com.sismics.reader.core.dao.jpa,TestJpa,Unutilized Abstraction
.,com.sismics.reader.core.dao.jpa,FeedDao,Unutilized Abstraction
.,com.sismics.reader.core.dao.jpa,JobEventDao,Unutilized Abstraction
.,com.sismics.reader.core.dao.jpa,FeedSynchronizationDao,Unutilized Abstraction
.,com.sismics.util.adblock,SubscriptionParser,Unutilized Abstraction
.,com.sismics.util.adblock,Subscription,Deficient Encapsulation
.,com.sismics.util.adblock,Subscription,Broken Modularization
.,com.sismics.util.adblock,Helper,Unutilized Abstraction
.,com.sismics.util.context,ThreadLocalContext,Deficient Encapsulation
.,com.sismics.util.mime,MimeType,Unnecessary Abstraction
.,com.sismics.util.mime,MimeType,Deficient Encapsulation
.,com.sismics.util.mime,MimeType,Broken Modularization
.,com.sismics.util.cert,TrustAllManager,Unutilized Abstraction
.,com.sismics.util.jpa,BaseDao,Unutilized Abstraction
.,com.sismics.util.jpa,DbOpenHelper,Unutilized Abstraction
.,com.sismics.util.jpa,SuppliedConnectionProviderConnectionHelper,Unutilized Abstraction
.,com.sismics.util.jpa,SessionUtil,Unutilized Abstraction
.,com.sismics.util.jpa.filter,FilterColumn,Unutilized Abstraction
.,com.sismics.reader.core.constant,Constants,Deficient Encapsulation
.,com.sismics.reader.core.constant,Constants,Broken Modularization
.,com.sismics.reader.core.util,UserUtil,Unutilized Abstraction
.,com.sismics.reader.core.dao.lucene,ReaderStandardAnalyzer,Unutilized Abstraction
.,com.sismics.reader.core.dao.lucene,ReaderStandardAnalyzer,Deficient Encapsulation
