Project Name,Package Name,Type Name,Method Name,Code Smell
.,com.sismics.util,TestUrlUtil,completeUrlTest,Long Statement
.,com.sismics.util,TestUrlUtil,completeUrlTest,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizerImageAkeweaTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerImageDilbertTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerImageXmlBaseTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerLinkTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeVimeoTest,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeVimeoTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeDailymotionTest,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeDailymotionTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeDailymotionTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeYoutubeTest,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeYoutubeTest,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeYoutubeTest,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeYoutubeTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeYoutubeTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeYoutubeTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeGoogleMapsTest,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeGoogleMapsTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeSoundCloudTest,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeSoundCloudTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeSlashdotTest,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeSlashdotTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeWhydTest,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeWhydTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeWhydTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeBandcampTest,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeBandcampTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeBandcampTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeVineTest,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeVineTest,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizer71Test,Magic Number
.,com.sismics.util,TestArticleSanitizer,articleSanitizer99Test,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizer99Test,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizer99Test,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizer99Test,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizer99Test,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizer99Test,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizer99Test,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizer99Test,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizer99Test,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizer99Test,Long Statement
.,com.sismics.util,TestArticleSanitizer,articleSanitizer99Test,Long Statement
.,com.sismics.util,TestCertUtil,sslFailTest,Empty catch clause
.,com.sismics.util,TestCertUtil,sslFailTest,Magic Number
.,com.sismics.util,TestTextSanitizer,textSanitizerTest,Long Statement
.,com.sismics.util,TestNetworkUtil,testUpnp,Magic Number
.,com.sismics.util,TestResourceUtil,loadResourceFileTest,Long Statement
.,com.sismics.util,UrlUtil,getBaseUri,Empty catch clause
.,com.sismics.util,LocaleUtil,getLocale,Magic Number
.,com.sismics.util,LocaleUtil,getLocale,Magic Number
.,com.sismics.util,LocaleUtil,getLocale,Magic Number
.,com.sismics.util,ResourceUtil,list,Complex Method
.,com.sismics.util,ResourceUtil,list,Magic Number
.,com.sismics.util,ResourceUtil,loadPropertiesFromUrl,Empty catch clause
.,com.sismics.util,HttpUtil,readUrlIntoString,Empty catch clause
.,com.sismics.util,HttpUtil,postUrl,Empty catch clause
.,com.sismics.util,HttpUtil,postUrl,Empty catch clause
.,com.sismics.util,AdblockUtil,matches,Long Parameter List
.,com.sismics.util,AdblockUtil,matches,Long Statement
.,com.sismics.util,DateUtil,parseDate,Empty catch clause
.,com.sismics.util,DateUtil,parseDate,Empty catch clause
.,com.sismics.reader.core.dao.file.opml,TestOpmlReader,googleOpmlReaderTest,Long Statement
.,com.sismics.reader.core.dao.file.opml,TestOpmlReader,googleOpmlReaderTest,Magic Number
.,com.sismics.reader.core.dao.file.opml,TestOpmlReader,googleOpmlReaderTest,Magic Number
.,com.sismics.reader.core.dao.file.opml,TestOpmlReader,googleOpmlReaderTest,Magic Number
.,com.sismics.reader.core.dao.file.opml,TestOpmlReader,googleOpmlReaderTest,Magic Number
.,com.sismics.reader.core.dao.file.opml,TestOpmlReader,lifereaOpmlReaderTest,Magic Number
.,com.sismics.reader.core.dao.file.opml,TestOpmlReader,lifereaOpmlReaderTest,Magic Number
.,com.sismics.reader.core.dao.file.opml,TestOpmlReader,ttrssOpmlReaderTest,Magic Number
.,com.sismics.reader.core.dao.file.opml,TestOpmlReader,ttrssOpmlReaderTest,Magic Number
.,com.sismics.reader.core.dao.file.opml,TestOpmlReader,ttrssOpmlReaderTest,Magic Number
.,com.sismics.reader.core.dao.file.opml,OpmlReader,startElement,Complex Conditional
.,com.sismics.reader.core.dao.file.opml,OpmlReader,startElement,Complex Conditional
.,com.sismics.reader.core.dao.file.opml,OpmlReader,startElement,Long Statement
.,com.sismics.reader.core.dao.file.json,TestStarredReader,starredReaderTest,Magic Number
.,com.sismics.reader.core.dao.file.json,TestStarredReader,starredReaderTest,Magic Number
.,com.sismics.reader.core.dao.file.json,TestStarredReader,starredReaderTest,Magic Number
.,com.sismics.reader.core.dao.file.json,StarredReader,read,Complex Method
.,com.sismics.reader.core.dao.file.json,StarredReader,read,Long Identifier
.,com.sismics.reader.core.dao.file.json,StarredReader,read,Magic Number
.,com.sismics.reader.core.dao.file.json,StarredReader,setStarredArticleListener,Long Identifier
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderGizmodoTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderApodTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderKorbenTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderKorbenTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderKorbenTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderKorbenTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderPloumTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderPloumTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderRottenTomatoesTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderXkcdTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderXkcdTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderWhatifTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderSpaceTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderEsaTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderEsaTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderLemessagerTest,Long Statement
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderLemessagerTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderLemessagerTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMakikoTest,Long Statement
.,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMakikoTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMarijnhaverbekeTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderPloumTest,Magic Number
.,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderPloumTest,Magic Number
