Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
.,com.sismics.util,TestUrlUtil,getBaseUriTest,8,1,0
.,com.sismics.util,TestUrlUtil,completeUrlTest,6,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerImageAkeweaTest,15,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerImageDilbertTest,14,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerImageXmlBaseTest,16,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerLinkTest,17,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeVimeoTest,14,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeDailymotionTest,14,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeYoutubeTest,24,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeGoogleMapsTest,11,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeSoundCloudTest,11,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeSlashdotTest,14,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeWhydTest,14,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeBandcampTest,14,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerIframeVineTest,14,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizer71Test,15,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizer99Test,15,1,0
.,com.sismics.util,TestArticleSanitizer,articleSanitizerMailto,5,1,0
.,com.sismics.util,TestCertUtil,sslFailTest,8,1,0
.,com.sismics.util,TestCertUtil,sslTrustAllCertificateTest,8,1,0
.,com.sismics.util,TestCertUtil,process,3,1,1
.,com.sismics.util,TestTextSanitizer,textSanitizerTest,7,1,0
.,com.sismics.util,TestAdblockUtil,test,6,1,0
.,com.sismics.util,TestDateUtil,guessTimezoneCodeTest,3,1,0
.,com.sismics.util,TestDateUtil,parseDateTest,3,1,0
.,com.sismics.util,TestNetworkUtil,testUpnp,3,1,0
.,com.sismics.util,TestResourceUtil,listFilesTest,10,1,0
.,com.sismics.util,TestResourceUtil,loadResourceFileTest,5,1,0
.,com.sismics.util,UrlUtil,getBaseUri,16,4,2
.,com.sismics.util,UrlUtil,getBaseUri,4,1,1
.,com.sismics.util,UrlUtil,completeUrl,25,6,2
.,com.sismics.util,JsonValidationUtil,validateJsonRequired,5,2,2
.,com.sismics.util,JsonValidationUtil,validateJsonObject,8,3,3
.,com.sismics.util,JsonValidationUtil,validateJsonNumber,8,3,3
.,com.sismics.util,JsonValidationUtil,validateJsonLong,8,3,3
.,com.sismics.util,JsonValidationUtil,validateJsonString,8,3,3
.,com.sismics.util,JsonValidationUtil,validateJsonArray,8,3,3
.,com.sismics.util,LocaleUtil,getLocale,13,3,1
.,com.sismics.util,LocaleUtil,getLocaleIdFromAcceptLanguage,21,5,1
.,com.sismics.util,EnvironmentUtil,isWindows,3,1,0
.,com.sismics.util,EnvironmentUtil,isMacOs,3,1,0
.,com.sismics.util,EnvironmentUtil,isUnix,3,1,0
