Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
.,com.sismics.util,TestUrlUtil,0,0,2,2,20,2,0,0,-1.0,0,1
.,com.sismics.util,TestArticleSanitizer,0,0,16,16,281,16,0,0,-1.0,0,5
.,com.sismics.util,TestCertUtil,0,0,3,3,22,3,0,0,-1.0,0,1
.,com.sismics.util,TestTextSanitizer,0,0,1,1,16,1,0,0,-1.0,0,1
.,com.sismics.util,TestAdblockUtil,0,0,1,1,8,1,0,0,-1.0,0,2
.,com.sismics.util,TestDateUtil,0,0,2,2,12,2,0,0,-1.0,0,2
.,com.sismics.util,TestNetworkUtil,0,0,1,1,9,1,0,0,-1.0,0,1
.,com.sismics.util,TestResourceUtil,0,0,2,2,21,2,0,0,-1.0,0,1
.,com.sismics.util,UrlUtil,0,0,3,3,68,11,0,0,-1.0,7,3
.,com.sismics.util,JsonValidationUtil,0,0,6,6,86,17,0,0,-1.0,1,0
.,com.sismics.util,LocaleUtil,0,0,2,2,50,8,0,0,-1.0,2,3
.,com.sismics.util,EnvironmentUtil,9,0,12,12,102,12,0,0,0.6666666666666666,10,1
.,com.sismics.util,NetworkUtil,1,0,1,1,37,3,0,0,0.0,2,0
.,com.sismics.util,ResourceUtil,0,0,3,3,93,14,0,0,-1.0,4,1
.,com.sismics.util,HttpUtil,1,0,2,2,78,8,0,0,1.0,0,0
.,com.sismics.util,AdblockUtil,4,0,11,11,139,24,0,0,0.18181818181818182,1,2
.,com.sismics.util,DateUtil,2,0,2,2,52,7,0,0,0.0,3,1
.,com.sismics.util,MessageUtil,0,0,2,2,32,2,0,0,-1.0,7,0
.,com.sismics.util,EnvironmentUtil,5,0,7,7,60,7,0,0,0.7142857142857143,0,0
.,com.sismics.util,MessageUtil,1,0,1,1,24,1,0,0,0.0,0,0
.,com.sismics.reader,BaseTransactionalTest,0,0,2,2,15,2,0,0,-1.0,0,2
.,com.sismics.reader,MainApplication,0,0,2,2,15,2,0,0,-1.0,0,2
.,com.sismics.reader,Standalone,2,0,1,1,60,5,0,0,0.0,0,0
.,com.sismics.reader.core.dao.file.opml,TestOpmlReader,0,0,3,3,119,3,0,0,-1.0,0,3
.,com.sismics.reader.core.dao.file.opml,Outline,6,0,12,12,92,12,0,0,0.5,4,0
.,com.sismics.reader.core.dao.file.opml,OpmlReader,7,0,8,6,127,19,0,0,0.25,2,1
.,com.sismics.reader.core.dao.file.opml,OpmlFlattener,0,0,3,1,54,11,0,0,-1.0,3,2
.,com.sismics.reader.core.dao.file.json,TestStarredReader,2,0,3,3,45,3,0,1,0.0,0,4
.,com.sismics.reader.core.dao.file.json,StarredReader,2,0,2,2,91,13,0,0,0.0,2,5
.,com.sismics.reader.core.dao.file.json,StarredArticleImportedEvent,2,0,5,5,39,5,0,0,0.0,3,2
.,com.sismics.reader.core.dao.file.json,StarredArticleImportedListener,0,0,1,0,11,1,1,0,-1.0,1,1
.,com.sismics.reader.core.dao.file.rss,TestRssReader,0,0,30,30,580,30,0,0,-1.0,0,3
.,com.sismics.reader.core.dao.file.rss,AtomArticleCommentUrlGuesserStrategy,0,0,1,1,27,6,0,0,-1.0,0,0
.,com.sismics.reader.core.dao.file.rss,AtomArticleUrlGuesserStrategy,0,0,1,1,27,6,0,0,-1.0,0,0
.,com.sismics.reader.core.dao.file.rss,AtomLink,3,0,7,7,71,7,0,0,0.0,0,0
.,com.sismics.reader.core.dao.file.rss,RssReader,22,3,14,8,447,97,0,0,0.0,4,7
.,com.sismics.reader.core.dao.file.rss,GuidFixer,0,0,1,1,27,5,0,0,-1.0,2,1
.,com.sismics.reader.core.dao.file.rss,XmlReader,2,0,3,3,70,11,0,0,0.0,0,0
